Bairro,Taxa
AEROLANDIA,149.647887324
AEROPORTO,23.207240659
JOSE DE ALENCAR,124.976566894
ALDEOTA,18.885295437
ALTO DA BALANCA,78.039644139
ALVARO WEYNE,88.644997889
AMADEU FURTADO,0
ANCURI,89.686098655
ANTONIO BEZERRA,61.905130388
AUTRAN NUNES,84.873632591
DE LOURDES,0
BARRA DO CEARA,96.654377753
BARROSO,150.7689215
BELA VISTA,101.468306076
BENFICA,15.439246565
BOM FUTURO,0
BOM JARDIM,140.367604216
BONSUCESSO,60.682557406
CAIS DO PORTO,84.889643463
CAJAZEIRAS,75.977344937
CAMBEBA,52.459016393
CANINDEZINHO,70.38493277
CARLITO PAMPLONA,58.467464576
CASTELAO,
CENTRO,105.122993903
CIDADE 2000,60.444874275
CIDADE DOS FUNCIONARIOS,49.298860649
COACU,0
COCO,4.879953152
CONJUNTO CEARA I,36.418500598
CONJUNTO CEARA II,25.345330123
CONJUNTO ESPERANCA,91.435537946
CONJUNTO PALMEIRAS,125.686494167
COUTO FERNANDES,76.045627376
CRISTO REDENTOR,63.629898566
CURIO,144.054478785
DAMAS,18.658456946
DEMOCRITO ROCHA,45.479352374
DENDE,88.699662941
DIAS MACEDO,82.569564858
DIONISIO TORRES,19.188947166
DOM LUSTOSA,30.425192059
MANUEL DIAS BRANCO,207.325501037
EDSON QUEIROZ,108.059432688
VILA ELLERY,76.306753148
ENG LUCIANO CAVALCANTE,6.433764396
FARIAS BRITO,8.289811821
FATIMA,30.031318375
FLORESTA,34.606866002
GENIBAU,91.729472432
GENTILANDIA,
GRANJA LISBOA,61.48879751
GRANJA PORTUGAL,65.572116718
GUAJERU,0
PATRIOLINO RIBEIRO,
HENRIQUE JORGE,22.227161591
ITAOCA,80.147471347
ITAPERI,35.456277977
JACARECANGA,77.44297381
JANGURUSSU,112.91824323
JARDIM AMERICA,65.231572081
JARDIM CEARENSE,9.898050084
JARDIM DAS OLIVEIRAS,104.832437185
JARDIM GUANABARA,40.217172733
JARDIM IRACEMA,125.086266391
JOAO XXIII,54.353734102
JOAQUIM TAVORA,17.057569296
JOQUEI CLUBE,36.211266877
JOSE BONIFACIO,33.90596745
LAGOA REDONDA,46.513292068
MARAPONGA,118.168389956
BOA VISTA,8.165264963
MEIRELES,5.408036342
MESSEJANA,110.3408573
MONDUBIM,61.806322655
MONTE CASTELO,90.805902384
MONTESE,15.40238737
MOURA BRASIL,
MUCURIPE,72.743143959
PADRE ANDRADE,46.382189239
PANAMERICANO,79.410096427
PAPICU,59.880239521
PARANGABA,35.544640838
PARQUE ARAXA,0
PARQUE DOIS IRMAOS,51.402555441
PARQUE IRACEMA,23.784040909
PARQUE MANIBURA,0
PARQUE PRESIDENTE VARGAS,125.139043382
PARQUE SANTA ROSA,62.548866302
PARQUE SAO JOSE,162.120923136
PARQUELANDIA,41.574279379
PARREAO,0
PASSARE,68.708284256
PAUPINA,81.827480395
PEDRAS,74.515648286
PICI,54.125288276
PIRAMBU,213.783403657
PLANALTO AYRTON SENNA,76.053338742
PRAIA DE IRACEMA,351.437699681
PRAIA DO FUTURO I,180.995475113
PRAIA DO FUTURO II,100.359621979
PREFEITO JOSE VALTER,74.789840548
PRESIDENTE KENNEDY,8.69414015
QUINTINO CUNHA,76.14696364
RODOLFO TEOFILO,20.927069164
SABIAGUABA,425.129900803
SALINAS,0
SAO BENTO,0
SAO GERARDO,20.682523268
SAO JOAO DO TAUAPE,86.962823393
SAPIRANGA COITE,40.42539959
SERRINHA,72.99270073
SIQUEIRA,89.211371476
VARJOTA,23.750148438
VICENTE PINZON,74.695724768
MANOEL SATIRO,23.714165261
VILA PERY,29.062727053
VILA UNIAO,65.027962024
VILA VELHA,50.310790853
